condition	diet	Bacteroides	Akkermansia	Prevotella	Methanobrevibacter	Butyricicoccus	Faecalibacterium
yes	high-fat	12	9	12	133	83	12
yes	high-fat	5	10	9	139	68	12
yes	high-fat	8	11	6	103	60	16
yes	high-fat	0	6	8	134	49	7
yes	high-fat	3	5	13	133	45	9
yes	low-fat	3	8	18	125	67	10
yes	low-fat	5	6	6	104	65	8
yes	low-fat	5	6	4	99	68	6
yes	low-fat	4	9	9	110	62	5
yes	high-fat	4	2	13	156	54	10
no	low-fat	6	7	10	72	46	10
no	low-fat	12	4	6	126	70	15
no	low-fat	2	6	4	112	88	7
no	high-fat	4	11	1	74	80	14
no	low-fat	8	3	5	115	75	11
no	high-fat	9	10	7	121	62	13
no	high-fat	6	8	9	131	67	20
no	low-fat	15	9	11	148	101	18
no	high-fat	6	2	8	161	45	14
no	low-fat	10	3	5	137	89	4
